indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-05-01,CABA,4 y 5 estrellas,121.14,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,CABA,Para Hoteles,24.6,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,CABA,Total,85.06,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Cuyo,1 y 2 estrellas,37.1,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,57.97,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Cuyo,4 y 5 estrellas,98,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Cuyo,Para Hoteles,24.84,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Cuyo,Total,57.69,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Córdoba,1 y 2 estrellas,51.58,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,66.52,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Córdoba,4 y 5 estrellas,86.55,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Córdoba,Para Hoteles,67.03,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Córdoba,Total,64.2,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Litoral,1 y 2 estrellas,40.25,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Litoral,3 estrellas/boutiques/aparts,55.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Litoral,4 y 5 estrellas,92.63,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Litoral,Para Hoteles,44.61,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Litoral,Total,63.08,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Norte,1 y 2 estrellas,50.91,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Norte,3 estrellas/boutiques/aparts,66.07,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Norte,4 y 5 estrellas,92.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Norte,Para Hoteles,34,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Norte,Total,61.11,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Patagonia,1 y 2 estrellas,45.7,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,76.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
