indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2012-05-01,Norte,Para Hoteles,7.8,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Norte,Total,16.43,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Patagonia,1 y 2 estrellas,16.16,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,21.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Patagonia,4 y 5 estrellas,26.14,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Patagonia,Para Hoteles,6.79,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Patagonia,Total,16.08,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Buenos Aires,1 y 2 estrellas,4.89,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,10.09,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Buenos Aires,4 y 5 estrellas,14.94,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Buenos Aires,Para Hoteles,6.49,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Buenos Aires,Total,8.06,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,CABA,1 y 2 estrellas,20.64,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,CABA,3 estrellas/boutiques/aparts,41.98,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,CABA,4 y 5 estrellas,69.51,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,CABA,Para Hoteles,9.02,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,CABA,Total,42.32,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Cuyo,1 y 2 estrellas,8.97,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,18.83,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Cuyo,4 y 5 estrellas,39.95,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Cuyo,Para Hoteles,3.87,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Cuyo,Total,17.03,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Córdoba,1 y 2 estrellas,8.84,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,20.4,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Córdoba,4 y 5 estrellas,32.45,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Córdoba,Para Hoteles,5.36,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Córdoba,Total,13.44,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Litoral,1 y 2 estrellas,13.74,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Litoral,3 estrellas/boutiques/aparts,23.91,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Litoral,4 y 5 estrellas,40.38,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Litoral,Para Hoteles,8.39,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Litoral,Total,21.98,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Norte,1 y 2 estrellas,10.61,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Norte,3 estrellas/boutiques/aparts,19.44,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Norte,4 y 5 estrellas,40.01,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Norte,Para Hoteles,6.6,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Norte,Total,16.34,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Patagonia,1 y 2 estrellas,12.73,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,24.41,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Patagonia,4 y 5 estrellas,34.31,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Patagonia,Para Hoteles,5.47,Calculado a valores de la cotización oficial de venta de la divisa.
2012-06-01,Patagonia,Total,16.9,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Buenos Aires,1 y 2 estrellas,6.67,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,22.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Buenos Aires,4 y 5 estrellas,28.54,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Buenos Aires,Para Hoteles,12.84,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Buenos Aires,Total,15.82,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,CABA,1 y 2 estrellas,25.9,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,CABA,3 estrellas/boutiques/aparts,49.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,CABA,4 y 5 estrellas,70.58,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,CABA,Para Hoteles,10.66,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,CABA,Total,45.57,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Cuyo,1 y 2 estrellas,14.3,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,28.35,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Cuyo,4 y 5 estrellas,64.72,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Cuyo,Para Hoteles,9.03,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Cuyo,Total,28.76,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Córdoba,1 y 2 estrellas,14.54,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,32.85,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Córdoba,4 y 5 estrellas,46.86,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Córdoba,Para Hoteles,22.84,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Córdoba,Total,25.38,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Litoral,1 y 2 estrellas,15.62,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Litoral,3 estrellas/boutiques/aparts,29.72,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Litoral,4 y 5 estrellas,55.58,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Litoral,Para Hoteles,15.51,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Litoral,Total,30.97,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Norte,1 y 2 estrellas,21.09,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Norte,3 estrellas/boutiques/aparts,38.49,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Norte,4 y 5 estrellas,66.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Norte,Para Hoteles,14.12,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Norte,Total,30.2,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Patagonia,1 y 2 estrellas,27.02,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Patagonia,3 estrellas/boutiques/aparts,50.04,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Patagonia,4 y 5 estrellas,92.31,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Patagonia,Para Hoteles,17.96,Calculado a valores de la cotización oficial de venta de la divisa.
2012-07-01,Patagonia,Total,41.26,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Buenos Aires,1 y 2 estrellas,5.22,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Buenos Aires,3 estrellas/boutiques/aparts,14.98,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Buenos Aires,4 y 5 estrellas,20.82,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Buenos Aires,Para Hoteles,7.79,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Buenos Aires,Total,10.66,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,CABA,1 y 2 estrellas,23.3,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,CABA,3 estrellas/boutiques/aparts,41.85,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,CABA,4 y 5 estrellas,67.1,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,CABA,Para Hoteles,8.59,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,CABA,Total,41.54,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Cuyo,1 y 2 estrellas,10.64,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Cuyo,3 estrellas/boutiques/aparts,23.12,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Cuyo,4 y 5 estrellas,58.94,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Cuyo,Para Hoteles,5.58,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Cuyo,Total,23.84,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Córdoba,1 y 2 estrellas,9.32,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Córdoba,3 estrellas/boutiques/aparts,24.44,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Córdoba,4 y 5 estrellas,35.99,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Córdoba,Para Hoteles,9.2,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Córdoba,Total,16.01,Calculado a valores de la cotización oficial de venta de la divisa.
2012-08-01,Litoral,1 y 2 estrellas,15.05,Calculado a valores de la cotización oficial de venta de la divisa.
