indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2013-01-01,Córdoba,Para Hoteles,313.1,""
2013-01-01,Córdoba,Total,239.7,""
2013-01-01,Litoral,1 y 2 estrellas,100.7,""
2013-01-01,Litoral,3 estrellas/boutiques/aparts,135.2,""
2013-01-01,Litoral,4 y 5 estrellas,238.9,""
2013-01-01,Litoral,Para Hoteles,110.5,""
2013-01-01,Litoral,Total,150.3,""
2013-01-01,Norte,1 y 2 estrellas,76.2,""
2013-01-01,Norte,3 estrellas/boutiques/aparts,180.6,""
2013-01-01,Norte,4 y 5 estrellas,170.5,""
2013-01-01,Norte,Para Hoteles,59.3,""
2013-01-01,Norte,Total,115.1,""
2013-01-01,Patagonia,1 y 2 estrellas,182.8,""
2013-01-01,Patagonia,3 estrellas/boutiques/aparts,339.7,""
2013-01-01,Patagonia,4 y 5 estrellas,448,""
2013-01-01,Patagonia,Para Hoteles,169.1,""
2013-01-01,Patagonia,Total,260.5,""
2013-02-01,Buenos Aires,1 y 2 estrellas,119.3,""
2013-02-01,Buenos Aires,3 estrellas/boutiques/aparts,264.9,""
2013-02-01,Buenos Aires,4 y 5 estrellas,398.2,""
2013-02-01,Buenos Aires,Para Hoteles,202.2,""
2013-02-01,Buenos Aires,Total,213.6,""
2013-02-01,CABA,1 y 2 estrellas,89.1,""
2013-02-01,CABA,3 estrellas/boutiques/aparts,175.9,""
2013-02-01,CABA,4 y 5 estrellas,338,""
2013-02-01,CABA,Para Hoteles,54.6,""
2013-02-01,CABA,Total,199.7,""
2013-02-01,Cuyo,1 y 2 estrellas,65.4,""
2013-02-01,Cuyo,3 estrellas/boutiques/aparts,157.3,""
2013-02-01,Cuyo,4 y 5 estrellas,244.1,""
2013-02-01,Cuyo,Para Hoteles,52,""
2013-02-01,Cuyo,Total,126.3,""
2013-02-01,Córdoba,1 y 2 estrellas,136.2,""
2013-02-01,Córdoba,3 estrellas/boutiques/aparts,251.1,""
2013-02-01,Córdoba,4 y 5 estrellas,245.4,""
2013-02-01,Córdoba,Para Hoteles,243.5,""
2013-02-01,Córdoba,Total,209.6,""
2013-02-01,Litoral,1 y 2 estrellas,108.6,""
2013-02-01,Litoral,3 estrellas/boutiques/aparts,134.8,""
2013-02-01,Litoral,4 y 5 estrellas,248.3,""
2013-02-01,Litoral,Para Hoteles,122.8,""
2013-02-01,Litoral,Total,156.8,""
2013-02-01,Norte,1 y 2 estrellas,72.7,""
2013-02-01,Norte,3 estrellas/boutiques/aparts,182.3,""
2013-02-01,Norte,4 y 5 estrellas,176.7,""
2013-02-01,Norte,Para Hoteles,52.7,""
2013-02-01,Norte,Total,112.1,""
2013-02-01,Patagonia,1 y 2 estrellas,167.2,""
2013-02-01,Patagonia,3 estrellas/boutiques/aparts,282.6,""
