indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-12-01,CABA,3 estrellas/boutiques/aparts,3801,""
2012-12-01,CABA,4 y 5 estrellas,8758,""
2012-12-01,CABA,Para Hoteles,1655,""
2012-12-01,Cuyo,1 y 2 estrellas,976,""
2012-12-01,Cuyo,3 estrellas/boutiques/aparts,1885,""
2012-12-01,Cuyo,4 y 5 estrellas,2596,""
2012-12-01,Cuyo,Para Hoteles,845,""
2012-12-01,Córdoba,1 y 2 estrellas,1223,""
2012-12-01,Córdoba,3 estrellas/boutiques/aparts,1335,""
2012-12-01,Córdoba,4 y 5 estrellas,873,""
2012-12-01,Córdoba,Para Hoteles,1544,""
2012-12-01,Litoral,1 y 2 estrellas,851,""
2012-12-01,Litoral,3 estrellas/boutiques/aparts,1918,""
2012-12-01,Litoral,4 y 5 estrellas,3340,""
2012-12-01,Litoral,Para Hoteles,1487,""
2012-12-01,Norte,1 y 2 estrellas,842,""
2012-12-01,Norte,3 estrellas/boutiques/aparts,1538,""
2012-12-01,Norte,4 y 5 estrellas,1548,""
2012-12-01,Norte,Para Hoteles,1182,""
2012-12-01,Patagonia,1 y 2 estrellas,1982,""
2012-12-01,Patagonia,3 estrellas/boutiques/aparts,2793,""
2012-12-01,Patagonia,4 y 5 estrellas,3131,""
2012-12-01,Patagonia,Para Hoteles,2413,""
2013-01-01,Buenos Aires,1 y 2 estrellas,2378,""
2013-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3260,""
2013-01-01,Buenos Aires,4 y 5 estrellas,2061,""
2013-01-01,Buenos Aires,Para Hoteles,3794,""
2013-01-01,CABA,1 y 2 estrellas,946,""
2013-01-01,CABA,3 estrellas/boutiques/aparts,3728,""
2013-01-01,CABA,4 y 5 estrellas,8522,""
2013-01-01,CABA,Para Hoteles,1423,""
2013-01-01,Cuyo,1 y 2 estrellas,1011,""
2013-01-01,Cuyo,3 estrellas/boutiques/aparts,1913,""
2013-01-01,Cuyo,4 y 5 estrellas,2575,""
2013-01-01,Cuyo,Para Hoteles,859,""
2013-01-01,Córdoba,1 y 2 estrellas,1775,""
2013-01-01,Córdoba,3 estrellas/boutiques/aparts,1502,""
2013-01-01,Córdoba,4 y 5 estrellas,916,""
2013-01-01,Córdoba,Para Hoteles,2444,""
2013-01-01,Litoral,1 y 2 estrellas,886,""
2013-01-01,Litoral,3 estrellas/boutiques/aparts,1706,""
2013-01-01,Litoral,4 y 5 estrellas,3261,""
2013-01-01,Litoral,Para Hoteles,1571,""
2013-01-01,Norte,1 y 2 estrellas,679,""
2013-01-01,Norte,3 estrellas/boutiques/aparts,1957,""
2013-01-01,Norte,4 y 5 estrellas,1673,""
2013-01-01,Norte,Para Hoteles,1300,""
2013-01-01,Patagonia,1 y 2 estrellas,1797,""
2013-01-01,Patagonia,3 estrellas/boutiques/aparts,2638,""
2013-01-01,Patagonia,4 y 5 estrellas,3171,""
2013-01-01,Patagonia,Para Hoteles,2744,""
2013-02-01,Buenos Aires,1 y 2 estrellas,2354,""
2013-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3108,""
2013-02-01,Buenos Aires,4 y 5 estrellas,2235,""
2013-02-01,Buenos Aires,Para Hoteles,3543,""
2013-02-01,CABA,1 y 2 estrellas,938,""
2013-02-01,CABA,3 estrellas/boutiques/aparts,3674,""
2013-02-01,CABA,4 y 5 estrellas,8536,""
2013-02-01,CABA,Para Hoteles,1427,""
2013-02-01,Cuyo,1 y 2 estrellas,950,""
2013-02-01,Cuyo,3 estrellas/boutiques/aparts,1901,""
2013-02-01,Cuyo,4 y 5 estrellas,2533,""
2013-02-01,Cuyo,Para Hoteles,844,""
2013-02-01,Córdoba,1 y 2 estrellas,1790,""
2013-02-01,Córdoba,3 estrellas/boutiques/aparts,1448,""
2013-02-01,Córdoba,4 y 5 estrellas,876,""
2013-02-01,Córdoba,Para Hoteles,2386,""
2013-02-01,Litoral,1 y 2 estrellas,922,""
2013-02-01,Litoral,3 estrellas/boutiques/aparts,1759,""
2013-02-01,Litoral,4 y 5 estrellas,3404,""
2013-02-01,Litoral,Para Hoteles,1677,""
2013-02-01,Norte,1 y 2 estrellas,702,""
2013-02-01,Norte,3 estrellas/boutiques/aparts,1934,""
2013-02-01,Norte,4 y 5 estrellas,1696,""
2013-02-01,Norte,Para Hoteles,1310,""
2013-02-01,Patagonia,1 y 2 estrellas,1677,""
2013-02-01,Patagonia,3 estrellas/boutiques/aparts,2633,""
2013-02-01,Patagonia,4 y 5 estrellas,3114,""
2013-02-01,Patagonia,Para Hoteles,2578,""
2013-03-01,Buenos Aires,1 y 2 estrellas,1463,""
2013-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2262,""
2013-03-01,Buenos Aires,4 y 5 estrellas,1716,""
2013-03-01,Buenos Aires,Para Hoteles,2479,""
2013-03-01,CABA,1 y 2 estrellas,921,""
2013-03-01,CABA,3 estrellas/boutiques/aparts,3639,""
2013-03-01,CABA,4 y 5 estrellas,8649,""
2013-03-01,CABA,Para Hoteles,1408,""
2013-03-01,Cuyo,1 y 2 estrellas,1006,""
2013-03-01,Cuyo,3 estrellas/boutiques/aparts,1969,""
2013-03-01,Cuyo,4 y 5 estrellas,2514,""
2013-03-01,Cuyo,Para Hoteles,818,""
